match_id,P1Name,P2Name,P1Hand,P2Hand,P1Points,P2Points,result,winner,loser,tournament_name,surface,start_date,winner_return_points_total,winner_return_points_won,loser_return_points_total,loser_return_points_won
20170816-M-Cincinnati_Masters-R64-Nick_Kyrgios-David_Goffin.html,Nick Kyrgios,David Goffin,RH,RH,64,45,Nick Kyrgios d. David Goffin 6-2 6-3,Nick Kyrgios,David Goffin,Cincinnati_Masters,hard,2017-08-16,53,23,56,15
20170814-M-Cincinnati_Masters-R64-Fernando_Verdasco-Mischa_Zverev.html,Fernando Verdasco,Mischa Zverev,LH,LH,48,58,Mischa Zverev d. Fernando Verdasco 6-4 6-4,Mischa Zverev,Fernando Verdasco,Cincinnati_Masters,hard,2017-08-14,57,18,49,9
20170820-W-Cincinnati-F-Garbine_Muguruza-Simona_Halep.html,Garbine Muguruza,Simona Halep,RH,RH,58,28,Garbine Muguruza d. Simona Halep 6-1 6-0,Garbine Muguruza,Simona Halep,Cincinnati,hard,2017-08-20,33,22,53,17
20170819-W-Cincinnati-SF-Sloane_Stephens-Simona_Halep.html,Sloane Stephens,Simona Halep,RH,RH,30,55,Simona Halep d. Sloane Stephens 6-2 6-1,Simona Halep,Sloane Stephens,Cincinnati,hard,2017-08-19,45,26,40,11
20170819-W-Cincinnati-QF-Simona_Halep-Johanna_Konta.html,Simona Halep,Johanna Konta,RH,RH,83,73,Simona Halep d. Johanna Konta 6-4 7-6(1),Simona Halep,Johanna Konta,Cincinnati,hard,2017-08-19,71,35,85,37
20170817-W-Cincinnati-R16-Simona_Halep-Anastasija_Sevastova.html,Simona Halep,Anastasija Sevastova,RH,RH,66,60,Simona Halep d. Anastasija Sevastova 6-4 6-3,Simona Halep,Anastasija Sevastova,Cincinnati,hard,2017-08-17,64,33,62,29
20170815-W-Cincinnati-R32-Simona_Halep-Taylor_Townsend.html,Simona Halep,Taylor Townsend,RH,LH,68,43,Simona Halep d. Taylor Townsend 6-4 6-1,Simona Halep,Taylor Townsend,Cincinnati,hard,2017-08-15,53,29,58,19
20170819-M-Meerbusch_CH-SF-Andreas_Haider_Maurer-Karim_Mohamed_Maamoun.html,Andreas Haider Maurer,Karim Mohamed Maamoun,RH,RH,112,104,Andreas Haider Maurer d. Karim Mohamed Maamoun 6-4 6-7(3) 6-3,Andreas Haider Maurer,Karim Mohamed Maamoun,Meerbusch_CH,hard,2017-08-19,118,53,98,39
20170818-M-Meerbusch_CH-QF-Jeremy_Jahn-Karim_Mohamed_Maamoun.html,Jeremy Jahn,Karim Mohamed Maamoun,RH,RH,72,84,Karim Mohamed Maamoun d. Jeremy Jahn 3-6 6-2 6-4,Karim Mohamed Maamoun,Jeremy Jahn,Meerbusch_CH,hard,2017-08-18,86,35,70,21
20170817-M-Meerbusch_CH-R16-Marc_Sieber-Karim_Mohamed_Maamoun.html,Marc Sieber,Karim Mohamed Maamoun,LH,RH,46,64,Karim Mohamed Maamoun d. Marc Sieber 6-2 6-3,Karim Mohamed Maamoun,Marc Sieber,Meerbusch_CH,hard,2017-08-17,58,30,52,18
20170814-M-Canada_Masters-F-Alexander_Zverev-Roger_Federer.html,Alexander Zverev,Roger Federer,RH,RH,63,49,Alexander Zverev d. Roger Federer 6-3 6-4,Alexander Zverev,Roger Federer,Canada_Masters,hard,2017-08-14,53,19,59,15
20170812-M-Canada_Masters-SF-Roger_Federer-Robin_Haase.html,Roger Federer,Robin Haase,RH,RH,73,55,Roger Federer d. Robin Haase 6-3 7-6(5),Roger Federer,Robin Haase,Canada_Masters,hard,2017-08-12,74,28,54,9
